date,symbol,export_value
2020-01-31,ZPWVVS,2865954
2020-01-31,YRTSYY,10836746
2020-01-31,OOVKZQ,861314197
2020-01-31,DKEETE,16163843
2020-01-31,AUBZAL,2657843
2020-01-31,WZDWXR,1151876325
2020-01-31,NCBZCR,46982
2020-01-31,RRICRX,2040510
2020-01-31,GBWGFP,110913
2020-01-31,PPUBWH,37529483
2020-01-31,QRKSSH,4580914
2020-01-31,ZCBFJR,12963668
2020-01-31,CVROPM,4350273
2020-01-31,PCRCOY,3942852
2020-01-31,BKLOUZ,209341
2020-01-31,TXPSGJ,59101630
2020-01-31,DSXCDZ,11622157
2020-01-31,CZLSSH,16320936
2020-01-31,VKRKMA,872555
2020-01-31,ZGYUVD,3314566
2020-01-31,BRCOZW,15889508
2020-01-31,RQYWDF,176937
2020-01-31,TSTQAO,6093238
2020-01-31,XZKUBD,100888
2020-01-31,DQEOIZ,953158
2020-01-31,YIYNXL,44693149
2020-01-31,BKWYSX,8420863
2020-01-31,SCPKIE,20879269
2020-01-31,LEYXXH,50819346
2020-01-31,CDSRYG,2696090
2020-01-31,SYVAQV,6021083
2020-01-31,PWDGDS,1515361617
2020-01-31,MLIWNE,3786516
2020-01-31,BAFEZW,4528486
2020-01-31,EWAAKG,2264793
2020-01-31,YZNRSP,11966212
2020-01-31,YPESLH,1825396599
2020-01-31,YVZJHU,16324385
2020-01-31,RBHGBR,18278159
2020-01-31,NHIDSE,3330135
2020-01-31,UHUHHJ,145425508
2020-01-31,URRGTF,1368983
2020-01-31,BWLIKT,142918369
2020-01-31,UZFBRJ,3072177
2020-01-31,FTSWHH,477969
2020-01-31,LVFNQH,16257836
2020-01-31,LOLGXT,32651510
2020-01-31,OJVDDX,60299263
2020-01-31,GSDWRW,7511795
2020-01-31,LHFAOG,999539
2020-01-31,GSZXYF,44044290
2020-01-31,KWLQBG,1092679
2020-01-31,SMJTQF,23135315
2020-01-31,XICXCQ,5351961
2020-01-31,KVEMSQ,548657784
2020-01-31,PYYYUQ,12893743
2020-01-31,IOULTI,1024701
2020-01-31,GFRTJY,6670761
2020-01-31,DUDWNF,9217425
2020-01-31,OZPQMZ,162905532
2020-01-31,GQHRXK,317636620
2020-01-31,WZESWQ,2052158
