symbol,value
AEGQRD,35101010
AIJFBS,30202030
AJAAJF,45203020
ANKPII,35202010
AOWNEI,25101010
AOWXSX,30302010
APJJHM,45203015
ASANPU,20106020
ASEXYC,20102010
ATUPVQ,45301010
AUBZAL,20104010
AWCJON,45203015
AYNOJU,45203010
BAFEZW,15104050
BAGTHE,45203010
BANEBG,35201010
BCPUTR,15104010
BEAHTO,35101010
BGARRH,20106020
BHLXOU,45301010
BKLOUZ,35202010
BKOQNI,45203010
BKWYSX,30202030
BRCOZW,30202030
BTEYDQ,45301010
BWLIKT,45203015
CBBOKY,30202030
CDPBUL,30202030
CDSRYG,30202030
CFFEFN,15104050
CFKVNH,15104050
CMLWYO,35101020
COLPJZ,45301010
CPCLJX,45301010
CQNGQE,35202010
CSFNMS,20106020
CTNMLG,30302010
CTYCHI,45301010
CVROPM,30202010
CZLSSH,20106015
DCQYRO,15101010
DDJUKD,20106020
DDYPEN,35101010
DHMCLM,35201010
DKEETE,20106015
DKFLKH,30302010
DLRGZY,45301020
DQEOIZ,15101020
DSXCDZ,15104050
DUDWNF,20104010
DUYYKV,35101010
DVNOEX,20103010
EADJIP,45203015
EAKPZC,45203015
EALREA,45301010
EBIQSS,35202010
ECNAYU,45301020
EDKWJJ,45203010
EHXYYC,45301010
EJUEMV,45203015
EKJZOG,45301020
EKYWRP,30202030
ELQWPV,15104020
EQXLMZ,15101010
ERFJAI,45301010
ESNONC,45301010
EUENUU,45301010
EUOMYO,45203015
EWAAKG,45203015
EXBJWK,45301010
EYQAWN,30302010
EZCKDK,45301020
FBXKRD,35101010
FCCNRR,20106010
FFOCIJ,20106020
FKBYDP,35201010
FOAYLK,45202030
FRNQCU,45203015
FTSWHH,30202030
FUBESA,45203015
FVMBOR,45301010
FXIKLD,15101010
FXNNRR,45203015
FZWTWL,35101010
GBWGFP,15101010
GCPWCW,20106020
GDCFUZ,45203015
GFRTJY,15101020
GFVAYA,45301010
GJDHSQ,45301010
GQHRXK,20106010
GQQMUO,45301010
GRHBNI,20101010
GSDWRW,15104010
GSZXYF,45203015
GWQZPO,35101010
GXKFWP,30302010
HIEJZX,35101010
HNIOXL,25203010
HOXSZA,35101020
HQCLVV,45203015
HRKMDS,45203015
HZBYDG,35101020
IBTQMK,15101050
IEPPEH,20106020
IFXTKB,35101010
IKTSLN,15101050
ILIREM,35101010
ILTXVZ,45203015
ILZVLJ,45301020
IMYNMI,20106010
IOPEDG,45301010
IOULTI,15101050
IUVCDA,15104020
IYSTYO,15101050
IZFMAM,20104010
JFVDTW,20106020
JHQXYO,25202010
JNREXM,45203015
JOADUZ,20106020
JYFXNM,20106020
JYFYGU,45301020
JYZQZN,25501010
KBKXEU,50202010
KCDAJQ,25202010
KCLSFZ,45203015
KDOURB,45301010
KDYIBD,20106020
KIFVSO,45301020
KKSZZH,25504040
KOJBJX,45301010
KPEPOP,20106020
KQPERD,30201010
KRJYDL,45301010
KSKLFS,45301010
KTSZMG,35101010
KUSDWL,45301020
KVEMSQ,20106010
KWLQBG,20106020
KXEGJS,20106020
KYPGWV,35201010
LDQMLD,15103010
LEYXXH,25101010
LHFAOG,15103010
LIBELH,45203015
LKMRRP,20106020
LNTSMQ,20104010
LOBQFJ,20101010
LOLGXT,15101010
LVFNQH,45203015
LWARKS,45203010
LYCPEE,20101010
MARZJV,20106010
MCUUGN,30302010
MGEMBU,45201020
MLIWNE,15101010
MLLYTK,35202010
MMADDY,15101010
MSVPZM,45301010
MZRXTL,25101010
NCBZCR,45301020
NFPMGH,20106010
NGNDYH,15103010
NGWSCQ,35202010
NHIDSE,15104010
NISXLC,20106020
NJKWOG,20106020
NLELFR,20104010
NLEOGC,20106010
NNRCPW,35203010
NOGJMK,20106010
NPDCMZ,30302010
NRWBSB,15104050
NTEEJB,20106020
NWGLEN,20104020
OCDYNK,20104010
OCLXYL,45301010
ODDIML,15101020
ODMYWR,45301010
OHXWNL,30201020
OIHDDW,25101010
OIVJAZ,20106010
OJVDDX,45203015
OKKQOV,20104010
OOVKZQ,25102010
OQWEQK,15101010
OUKEEB,20104010
OVFFAC,45301020
OWGUHB,10102030
OWOSWS,15101010
OXPQCK,45203015
OZMNIB,45301020
OZPQMZ,15104020
PCRCOY,45203015
PDPXZM,20106020
PEALPI,45301010
PEHUIZ,15101050
PFORAO,45301010
PGBCWW,35101010
PGCZCG,15101010
PGOHUS,45301010
PHSPKE,45301010
PIVNDN,45301010
PMZNBY,30302010
PPHSSG,20104010
PPUBWH,20104010
PPVUFS,15101010
PTLLLY,35202010
PUUYFY,35201010
PWDGDS,25102010
PYYYUQ,25101010
QBVEDF,20104020
QHKPYN,45202030
QITCWV,15101010
QKANEJ,35201010
QKIGGF,45301020
QKJFZD,45301010
QNTBYQ,35101010
QOBBVK,45203020
QRKSSH,25203030
QSYRNF,45301010
QUGEQX,20104020
RBHGBR,30202030
RBQVHJ,35101010
RDBXJV,25101020
REGOOJ,25201040
RIRXTY,45301020
RJHGDB,30302010
RLCCAU,15101010
RMNRAZ,15104050
RNJWLR,15101050
RQRGMK,45203015
RQYWDF,25203030
RRGVEC,45201020
RRICRX,25203030
RSWSGT,30202030
RTDTNE,45301010
RYCFCX,25201010
RYENKI,45301010
SCPKIE,15101050
SINXQG,15101010
SMJTQF,20102010
SOCLOZ,45203015
SSTIBF,45203015
STAIFM,15101050
SUNVHK,30302010
SVEEBJ,35202010
SWYBGR,15101050
SYAWOP,45201020
SYQXCC,15105010
