symbol,value
AEGQRD,351010.0
AIJFBS,302020.0
AJAAJF,452030.0
ANKPII,
AOWNEI,251010.0
AOWXSX,303020.0
APJJHM,452030.0
ASANPU,201060.0
ASEXYC,201020.0
ATUPVQ,453010.0
AUBZAL,201040.0
AWCJON,452030.0
AYNOJU,452030.0
BAFEZW,151040.0
BAGTHE,452030.0
BANEBG,352010.0
BCPUTR,151040.0
BEAHTO,351010.0
BGARRH,201060.0
BHLXOU,453010.0
BKLOUZ,352020.0
BKOQNI,452030.0
BKWYSX,302020.0
BRCOZW,302020.0
BTEYDQ,453010.0
BWLIKT,452030.0
CBBOKY,302020.0
CDPBUL,302020.0
CDSRYG,302020.0
CFFEFN,151040.0
CFKVNH,151040.0
CMLWYO,351010.0
COLPJZ,453010.0
CPCLJX,453010.0
CQNGQE,352020.0
CSFNMS,201060.0
CTNMLG,303020.0
CTYCHI,453010.0
CVROPM,302020.0
CZLSSH,201060.0
DCQYRO,151010.0
DDJUKD,201060.0
DDYPEN,351010.0
DHMCLM,352010.0
DKEETE,201060.0
DKFLKH,303020.0
DLRGZY,453010.0
DQEOIZ,151010.0
DSXCDZ,151040.0
DUDWNF,201040.0
DUYYKV,351010.0
DVNOEX,201030.0
EADJIP,452030.0
EAKPZC,452030.0
EALREA,453010.0
EBIQSS,352020.0
ECNAYU,453010.0
EDKWJJ,452030.0
EHXYYC,453010.0
EJUEMV,452030.0
EKJZOG,453010.0
EKYWRP,302020.0
ELQWPV,151040.0
EQXLMZ,151010.0
ERFJAI,453010.0
ESNONC,453010.0
EUENUU,453010.0
EUOMYO,452030.0
EWAAKG,452030.0
EXBJWK,453010.0
EYQAWN,303020.0
EZCKDK,453010.0
FBXKRD,351010.0
FCCNRR,201060.0
FFOCIJ,201060.0
FKBYDP,352010.0
FOAYLK,452020.0
FRNQCU,452030.0
FTSWHH,302020.0
FUBESA,452030.0
FVMBOR,453010.0
FXIKLD,
FXNNRR,452030.0
FZWTWL,351010.0
GBWGFP,151010.0
GCPWCW,201060.0
GDCFUZ,452030.0
GFRTJY,151010.0
GFVAYA,453010.0
GJDHSQ,453010.0
GQHRXK,201060.0
GQQMUO,453010.0
GRHBNI,201010.0
GSDWRW,151040.0
GSZXYF,452030.0
GWQZPO,351010.0
GXKFWP,303020.0
HIEJZX,351010.0
HNIOXL,252030.0
HOXSZA,351010.0
HQCLVV,452030.0
