symbol,value
AEGQRD,35.0
AIJFBS,30.0
AJAAJF,45.0
ANKPII,
AOWNEI,25.0
AOWXSX,30.0
APJJHM,45.0
ASANPU,20.0
ASEXYC,20.0
ATUPVQ,45.0
AUBZAL,20.0
AWCJON,45.0
AYNOJU,45.0
BAFEZW,15.0
BAGTHE,45.0
BANEBG,35.0
BCPUTR,15.0
BEAHTO,35.0
BGARRH,20.0
BHLXOU,45.0
BKLOUZ,35.0
BKOQNI,45.0
BKWYSX,30.0
BRCOZW,30.0
BTEYDQ,45.0
BWLIKT,45.0
CBBOKY,30.0
CDPBUL,30.0
CDSRYG,30.0
CFFEFN,15.0
CFKVNH,15.0
CMLWYO,35.0
COLPJZ,45.0
CPCLJX,45.0
CQNGQE,35.0
CSFNMS,20.0
CTNMLG,30.0
CTYCHI,45.0
CVROPM,30.0
CZLSSH,20.0
DCQYRO,15.0
DDJUKD,20.0
DDYPEN,35.0
DHMCLM,35.0
DKEETE,20.0
DKFLKH,30.0
DLRGZY,45.0
DQEOIZ,15.0
DSXCDZ,15.0
DUDWNF,20.0
DUYYKV,35.0
DVNOEX,20.0
EADJIP,45.0
EAKPZC,45.0
EALREA,45.0
EBIQSS,35.0
ECNAYU,45.0
EDKWJJ,45.0
EHXYYC,45.0
EJUEMV,45.0
EKJZOG,45.0
EKYWRP,30.0
ELQWPV,15.0
EQXLMZ,15.0
ERFJAI,45.0
ESNONC,45.0
EUENUU,45.0
EUOMYO,45.0
EWAAKG,45.0
EXBJWK,45.0
EYQAWN,30.0
EZCKDK,45.0
FBXKRD,35.0
FCCNRR,20.0
FFOCIJ,20.0
FKBYDP,35.0
FOAYLK,45.0
FRNQCU,45.0
FTSWHH,30.0
FUBESA,45.0
FVMBOR,45.0
FXIKLD,
FXNNRR,45.0
FZWTWL,35.0
GBWGFP,15.0
GCPWCW,20.0
GDCFUZ,45.0
GFRTJY,15.0
GFVAYA,45.0
GJDHSQ,45.0
GQHRXK,20.0
GQQMUO,45.0
GRHBNI,20.0
GSDWRW,15.0
GSZXYF,45.0
GWQZPO,35.0
GXKFWP,30.0
HIEJZX,35.0
HNIOXL,25.0
HOXSZA,35.0
HQCLVV,45.0
HRKMDS,45.0
HZBYDG,
IBTQMK,15.0
IEPPEH,
IFXTKB,35.0
IKTSLN,15.0
ILIREM,35.0
ILTXVZ,45.0
ILZVLJ,45.0
IMYNMI,20.0
IOPEDG,45.0
IOULTI,15.0
IQRCIA,20.0
IUVCDA,15.0
IYSTYO,15.0
IZFMAM,20.0
JFVDTW,20.0
JHQXYO,25.0
JNREXM,45.0
JOADUZ,20.0
JYFXNM,20.0
JYFYGU,45.0
JYZQZN,25.0
KBKXEU,50.0
KCDAJQ,50.0
KCLSFZ,45.0
KDOURB,45.0
KDYIBD,20.0
KIFVSO,45.0
KKSZZH,25.0
KOJBJX,45.0
KPEPOP,20.0
KQPERD,30.0
KRJYDL,45.0
KSKLFS,45.0
KTSZMG,35.0
KUSDWL,45.0
KVEMSQ,20.0
KWLQBG,
KXEGJS,20.0
KYPGWV,35.0
LDQMLD,15.0
LEYXXH,25.0
LHFAOG,15.0
LIBELH,45.0
LKMRRP,20.0
LNTSMQ,20.0
LOBQFJ,20.0
LOLGXT,15.0
LVFNQH,45.0
LWARKS,45.0
LYCPEE,20.0
MARZJV,20.0
MCUUGN,
MGEMBU,45.0
MLIWNE,15.0
MLLYTK,35.0
MMADDY,15.0
MSVPZM,45.0
MZRXTL,25.0
NCBZCR,45.0
NFPMGH,20.0
NGNDYH,15.0
NGWSCQ,35.0
NHIDSE,15.0
NISXLC,20.0
NJKWOG,20.0
NLELFR,20.0
NLEOGC,20.0
NNRCPW,35.0
NOGJMK,20.0
NPDCMZ,30.0
NRWBSB,15.0
NTEEJB,20.0
NWGLEN,20.0
OCDYNK,20.0
OCLXYL,45.0
ODDIML,15.0
ODMYWR,45.0
OHXWNL,30.0
OIHDDW,25.0
OIVJAZ,20.0
OJVDDX,45.0
OKKQOV,20.0
OOVKZQ,25.0
OQWEQK,15.0
OUKEEB,20.0
OVFFAC,45.0
OWGUHB,10.0
OWOSWS,15.0
OXPQCK,45.0
OZMNIB,45.0
OZPQMZ,15.0
PCRCOY,45.0
PDPXZM,20.0
PEALPI,45.0
PEHUIZ,15.0
PFORAO,45.0
PGBCWW,35.0
PGCZCG,15.0
PGOHUS,45.0
PHSPKE,45.0
PIVNDN,45.0
PMZNBY,30.0
PPHSSG,20.0
PPUBWH,20.0
PPVUFS,15.0
PTLLLY,35.0
PUUYFY,35.0
PWDGDS,25.0
PYYYUQ,25.0
QBVEDF,20.0
QHKPYN,45.0
QITCWV,15.0
QKANEJ,35.0
QKIGGF,45.0
QKJFZD,45.0
QNTBYQ,35.0
QOBBVK,45.0
QRKSSH,25.0
QSYRNF,45.0
QUGEQX,20.0
RBHGBR,30.0
RBQVHJ,35.0
RDBXJV,25.0
REGOOJ,25.0
RIRXTY,45.0
RJHGDB,30.0
RLCCAU,15.0
RMNRAZ,15.0
RNJWLR,15.0
RQRGMK,45.0
RQYWDF,25.0
RRGVEC,45.0
RRICRX,25.0
RSWSGT,30.0
RTDTNE,45.0
RYCFCX,25.0
RYENKI,45.0
SCPKIE,15.0
SINXQG,15.0
SMJTQF,20.0
SOCLOZ,45.0
SSTIBF,45.0
STAIFM,15.0
SUNVHK,30.0
SVEEBJ,35.0
SWYBGR,15.0
SYAWOP,45.0
SYQXCC,15.0
SYVAQV,15.0
TCPUCO,25.0
TEBOGM,35.0
THXVXM,30.0
TJKMID,35.0
TMSLKN,45.0
TNOHWJ,35.0
TRGLHK,20.0
TRZRAR,35.0
TSTQAO,20.0
TVTYVW,
TWFIYK,45.0
TXPSGJ,25.0
UBLHOC,20.0
UBSCBZ,45.0
UHIWKC,20.0
UHUHHJ,20.0
ULVZSW,20.0
UOSFXL,35.0
URRGTF,20.0
UTBCWZ,15.0
