symbol,value
AEGQRD,35101010.0
AIJFBS,30202030.0
AJAAJF,45203020.0
ANKPII,
AOWNEI,25101010.0
AOWXSX,30302010.0
APJJHM,45203015.0
ASANPU,20106020.0
ASEXYC,20102010.0
ATUPVQ,45301010.0
AUBZAL,20104010.0
AWCJON,45203015.0
AYNOJU,45203010.0
BAFEZW,15104050.0
BAGTHE,45203010.0
BANEBG,35201010.0
BCPUTR,15104010.0
BEAHTO,35101010.0
BGARRH,20106020.0
BHLXOU,45301010.0
BKLOUZ,35202010.0
BKOQNI,45203010.0
BKWYSX,30202030.0
BRCOZW,30202030.0
BTEYDQ,45301010.0
BWLIKT,45203015.0
CBBOKY,30202030.0
CDPBUL,30202030.0
CDSRYG,30202030.0
CFFEFN,15104050.0
CFKVNH,15104050.0
CMLWYO,35101020.0
COLPJZ,45301020.0
CPCLJX,45301010.0
CQNGQE,35202010.0
CSFNMS,20106020.0
CTNMLG,30302010.0
CTYCHI,45301010.0
CVROPM,30202010.0
CZLSSH,20106015.0
DCQYRO,15101010.0
DDJUKD,20106020.0
DDYPEN,35101010.0
DHMCLM,35201010.0
DKEETE,20106015.0
DKFLKH,30302010.0
DLRGZY,45301020.0
DQEOIZ,15101020.0
DSXCDZ,15104050.0
DUDWNF,20104010.0
DUYYKV,35101010.0
DVNOEX,20103010.0
EADJIP,45203015.0
EAKPZC,45203015.0
EALREA,45301010.0
EBIQSS,35202010.0
ECNAYU,45301020.0
EDKWJJ,45203010.0
EHXYYC,45301010.0
EJUEMV,45203015.0
EKJZOG,45301020.0
EKYWRP,30202030.0
ELQWPV,15104020.0
EQXLMZ,15101010.0
ERFJAI,45301010.0
ESNONC,45301010.0
EUENUU,45301010.0
EUOMYO,45203015.0
EWAAKG,45203015.0
EXBJWK,45301010.0
EYQAWN,30302010.0
EZCKDK,45301020.0
FBXKRD,35101010.0
FCCNRR,20106010.0
FFOCIJ,20106020.0
FKBYDP,35201010.0
FOAYLK,45202030.0
FRNQCU,45203015.0
FTSWHH,30202030.0
FUBESA,45203015.0
FVMBOR,45301010.0
FXIKLD,
FXNNRR,45203015.0
FZWTWL,35101010.0
GBWGFP,15101010.0
GCPWCW,20106020.0
GDCFUZ,45203015.0
GFRTJY,15101020.0
GFVAYA,45301010.0
GJDHSQ,45301010.0
GQHRXK,20106010.0
