,close,high,open,low
20200102,25920.63483211721,26307.772623228266,26259.380399339385,25894.23907363237
20200103,25920.63483211721,26298.97403706665,26153.797365400005,25797.454625854607
20200106,25727.06593656169,25819.451091258645,25709.46876423846,25674.274419592
20200107,25999.822107571745,26074.610089945472,25854.645435905102,25850.246142824293
20200108,25832.648970501064,25955.829176763673,25806.25321201622,25647.878661107155
20200109,26254.981106258576,26250.581813177767,26188.991710046466,26074.610089945472
20200110,26479.345053379755,26496.942225702984,26272.578278581805,26254.981106258576
20200113,26752.10122438981,26765.299103632235,26479.345053379755,26470.546467218137
20200114,26879.68072373323,27068.850326207947,26919.274361460495,26862.083551409996
20200115,26712.507586662545,26853.284965248382,26822.48991368273,26681.712535096893
20200116,27020.458102319062,27007.260223076642,26712.507586662545,26690.511121258507
20200117,27068.850326207947,27297.61356640993,27152.436894743285,27002.860929995833
20200120,27266.81851484428,27416.39447959173,27187.631239389746,27187.631239389746
20200121,26936.871533783724,27297.61356640993,27253.620635601856,26936.871533783724
20200122,27319.61003181397,27337.207204137198,26897.277896056457,26888.479309894843
20200123,26963.267292268567,27170.034067066514,27156.836187824094,26932.472240702915
20200128,26136.200193076776,26461.747881056523,26347.366260955532,26004.221400652554
20200129,26241.783227016153,26356.164847117147,26224.186054692924,26096.60655534951
20200130,25730.264683185895,26228.554299158473,26184.45787296621,25646.481473420594
20200131,25487.734339128445,25986.023955101024,25911.060030574175,25448.047555555408
20200203,25456.86684079386,25562.698263655293,25108.505073874974,25037.950791967352
20200204,25915.469673193402,25972.795027243345,25483.32469650922,25456.86684079386
20200205,26034.530023912514,26237.373584396926,26171.22894510853,25897.831102716496
20200206,26819.44641013481,26863.542836327073,26325.566436781453,26307.927866304548
20200207,26576.91606607736,26770.94034132332,26757.71141346564,26435.807502262116
20200210,26449.036430119795,26475.494285835153,26255.01215487383,26184.45787296621
20200211,26718.024629892603,26881.18140680398,26546.048567742775,26546.048567742775
20200212,26938.50676085392,26973.783901807732,26678.337846319566,26603.373921792718
20200213,26885.591049423205,27158.98889181524,27017.880327999996,26815.036767515583
20200214,27022.289970619222,27136.940678719107,26837.084980611715,26704.795702034924
20200217,27026.69961323845,27123.71175086143,26991.422472284637,26885.591049423205
20200218,26568.096780838907,26872.362121565526,26784.169269181,26546.048567742775
20200219,26629.831777508076,26770.94034132332,26731.253557750282,26374.072505592943
20200220,26493.13285631206,26876.771764184752,26819.44641013481,26325.566436781453
20200221,26100.67466320091,26329.97607940068,26113.903591058588,26043.349309150966
20200224,25112.9147164942,25580.3368341322,25562.698263655293,25099.68578863652
20200225,25386.31255888624,25399.541486743918,25046.770077205805,25002.67365101354
20200226,25029.1315067289,25170.240070544143,24896.84222815211,24843.926516721393
20200227,24746.914379098413,25064.40864768271,24936.529011725146,24671.950454571564
20200228,23975.226920733796,24464.697251467926,24376.5043990834,23900.262996206948
20200302,24182.48012383744,24314.76940241423,24072.239058356776,23763.56407501093
20200303,24288.31154669887,24768.962592194544,24667.540811952338,24160.431910741307
20200304,24813.059018386808,24874.794015055977,24266.26333360274,24266.26333360274
20200305,25082.047218159616,25187.87864102105,25002.67365101354,24786.60116267145
20200306,24561.709389090905,24830.697588863713,24830.697588863713,24447.05868099102
20200309,23521.03373095348,23856.166570014684,23794.431573345515,23353.46731142288
20200310,23648.913366911045,23723.877291437893,23521.03373095348,23353.46731142288
